Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue,treatment
SRR14704390,RNA-Seq,51,417285213,PRJNA734354,SAMN19490375,170341792,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042386,PKM2KO,GSM5352003,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352003,Breast cancer cell line,SRP322205,Breast,PKM2 knockout
SRR14704391,RNA-Seq,51,718034559,PRJNA734354,SAMN19490374,291364005,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042387,PKM2KO,GSM5352004,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352004,Breast cancer cell line,SRP322205,Breast,PKM2 knockout
SRR14704392,RNA-Seq,50,5416216750,PRJNA734354,SAMN19490373,1834209019,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042388,TMEM33 WT,GSM5352005,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352005,Breast cancer cell line,SRP322205,Breast,lenti vectrol virus infection
SRR14704393,RNA-Seq,50,4230270450,PRJNA734354,SAMN19490372,1434735789,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042389,TMEM33 WT,GSM5352006,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352006,Breast cancer cell line,SRP322205,Breast,lenti vectrol virus infection
SRR14704394,RNA-Seq,50,4343245500,PRJNA734354,SAMN19490371,1474977982,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042390,TMEM33 WT,GSM5352007,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352007,Breast cancer cell line,SRP322205,Breast,lenti vectrol virus infection
SRR14704395,RNA-Seq,50,2808933700,PRJNA734354,SAMN19490370,995924961,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042391,TMEM33 overexpression,GSM5352008,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352008,Breast cancer cell line,SRP322205,Breast,lenti TMEM33 virus infection
SRR14704396,RNA-Seq,50,2412767850,PRJNA734354,SAMN19490369,853923445,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042392,TMEM33 overexpression,GSM5352009,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352009,Breast cancer cell line,SRP322205,Breast,lenti TMEM33 virus infection
SRR14704397,RNA-Seq,50,2494940350,PRJNA734354,SAMN19490368,882960996,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042393,TMEM33 overexpression,GSM5352010,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352010,Breast cancer cell line,SRP322205,Breast,lenti TMEM33 virus infection
SRR14704398,RNA-Seq,50,2405234800,PRJNA734354,SAMN19490367,853309254,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042394,TMEM33 overexpression,GSM5352011,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352011,Breast cancer cell line,SRP322205,Breast,lenti TMEM33 virus infection
SRR14704399,RNA-Seq,50,2476998150,PRJNA734354,SAMN19490366,879768895,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042395,TMEM33 overexpression,GSM5352012,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352012,Breast cancer cell line,SRP322205,Breast,lenti TMEM33 virus infection
SRR14704400,RNA-Seq,50,2144383150,PRJNA734354,SAMN19490365,759898320,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042396,TMEM33 overexpression,GSM5352013,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352013,Breast cancer cell line,SRP322205,Breast,lenti TMEM33 virus infection
